Age	Passenger Class	Sex	No of Siblings or Spouses on Board	No of Parents or Children on Board	Passenger Fare	Survived
52.0	Second	Male	.0	.0	13.5	No
29.0	Second	Female	1.0	.0	26.0	No
25.0	Second	Female	1.0	1.0	30.0	Yes
28.0	Second	Female	1.0	.0	26.0	Yes
29.0	Second	Male	.0	.0	10.5	No
28.0	Second	Male	.0	.0	13.0	No
8.0	Second	Female	.0	2.0	26.3	Yes
31.0	Second	Male	1.0	1.0	26.3	No
30.0	Second	Female	.0	.0	13.0	No
29.9	Second	Female	.0	.0	21.0	No
21.0	Second	Male	.0	.0	11.5	No
48.0	Second	Female	.0	2.0	36.8	Yes
28.0	Second	Female	.0	.0	13.0	Yes
32.0	Second	Male	.0	.0	13.0	No
18.0	Second	Female	.0	1.0	23.0	Yes
54.0	Second	Male	.0	.0	26.0	No
42.0	Second	Male	1.0	1.0	32.5	No
27.0	Second	Female	1.0	.0	13.9	Yes
21.0	Second	Male	.0	.0	13.0	No
18.0	Second	Male	.0	.0	13.0	No
40.0	Second	Male	1.0	.0	26.0	No
18.0	Second	Male	.0	.0	10.5	No
36.0	Second	Male	.0	.0	13.0	No
29.9	Second	Male	.0	.0	.0	No
38.0	Second	Female	.0	.0	13.0	No
38.0	Second	Male	1.0	.0	21.0	No
34.0	Second	Male	1.0	.0	21.0	No
16.0	Second	Male	.0	.0	26.0	No
26.0	Second	Male	.0	.0	10.5	No
47.0	Second	Male	.0	.0	10.5	No
21.0	Second	Male	1.0	.0	11.5	No
24.0	Second	Male	.0	.0	13.0	No
34.0	Second	Male	.0	.0	13.0	No
30.0	Second	Male	.0	.0	13.0	No
52.0	Second	Male	.0	.0	13.0	No
30.0	Second	Male	.0	.0	13.0	No
.7	Second	Male	1.0	1.0	14.5	Yes
44.0	Second	Male	.0	.0	13.0	No
62.0	Second	Male	.0	.0	10.5	Yes
30.0	Second	Male	.0	.0	10.5	No
7.0	Second	Female	.0	2.0	26.3	Yes
43.0	Second	Male	1.0	1.0	26.3	No
45.0	Second	Female	1.0	1.0	26.3	Yes
24.0	Second	Female	1.0	2.0	65.0	Yes
55.0	Second	Female	.0	.0	16.0	Yes
24.0	Second	Male	2.0	.0	73.5	No
32.0	Second	Male	2.0	.0	73.5	No
21.0	Second	Male	2.0	.0	73.5	No
18.0	Second	Female	1.0	1.0	13.0	No
20.0	Second	Female	2.0	1.0	23.0	Yes
23.0	Second	Male	2.0	1.0	11.5	No
36.0	Second	Male	.0	.0	13.0	No
50.0	Second	Male	.0	.0	13.0	No
44.0	Second	Male	1.0	.0	26.0	No
21.0	Second	Male	.0	.0	73.5	No
42.0	Second	Male	.0	.0	13.0	Yes
63.0	Second	Male	1.0	.0	26.0	No
60.0	Second	Female	1.0	.0	26.0	No
33.0	Second	Male	.0	.0	12.3	No
17.0	Second	Female	.0	.0	10.5	Yes
24.0	Second	Female	2.0	1.0	27.0	Yes
47.0	Second	Male	.0	.0	15.0	No
24.0	Second	Male	2.0	.0	31.5	No
22.0	Second	Male	2.0	.0	31.5	No
32.0	Second	Male	.0	.0	10.5	No
23.0	Second	Female	.0	.0	13.8	Yes
34.0	Second	Male	1.0	.0	26.0	No
22.0	Second	Female	.0	.0	21.0	No
29.9	Second	Female	.0	.0	12.4	Yes
35.0	Second	Male	.0	.0	12.4	No
45.0	Second	Female	.0	.0	13.5	Yes
57.0	Second	Male	.0	.0	12.4	No
29.9	Second	Male	.0	.0	.0	No
26.0	Second	Female	1.0	1.0	26.0	No
30.0	Second	Male	1.0	1.0	26.0	No
29.9	Second	Male	.0	.0	10.7	No
1.0	Second	Female	1.0	2.0	41.6	Yes
3.0	Second	Female	1.0	2.0	41.6	Yes
25.0	Second	Male	1.0	2.0	41.6	No
17.0	Second	Female	.0	.0	12.0	Yes
29.9	Second	Female	.0	.0	33.0	Yes
34.0	Second	Female	.0	.0	10.5	Yes
36.0	Second	Male	.0	.0	12.9	No
24.0	Second	Male	.0	.0	10.5	No
61.0	Second	Male	.0	.0	12.4	No
57.0	Second	Female	.0	.0	10.5	No
29.9	Second	Male	.0	.0	15.0	No
1.0	Second	Male	.0	2.0	37.0	Yes
24.0	Second	Female	1.0	1.0	37.0	Yes
40.0	Second	Male	.0	.0	16.0	No
30.0	Second	Male	.0	.0	13.0	No
46.0	Second	Male	.0	.0	26.0	No
13.0	Second	Female	.0	1.0	19.5	Yes
41.0	Second	Female	.0	1.0	19.5	Yes
70.0	Second	Male	.0	.0	10.5	No
27.0	Second	Male	.0	.0	13.0	No
54.0	Second	Male	.0	.0	14.0	No
39.0	Second	Male	.0	.0	26.0	No
16.0	Second	Male	.0	.0	10.5	No
62.0	Second	Male	.0	.0	9.7	No
26.0	Second	Male	.0	.0	13.0	No
19.0	Second	Male	1.0	1.0	36.8	No
29.0	Second	Female	.0	.0	10.5	Yes
39.0	Second	Male	.0	.0	13.0	No
29.9	Second	Male	.0	.0	13.9	Yes
29.0	Second	Male	.0	.0	13.9	Yes
28.0	Second	Male	.0	.0	10.5	No
29.9	Second	Male	.0	.0	.0	No
50.0	Second	Female	.0	1.0	26.0	Yes
29.9	Second	Male	.0	.0	15.1	No
41.0	Second	Male	.0	.0	13.0	No
21.0	Second	Female	.0	1.0	21.0	Yes
19.0	Second	Female	.0	.0	26.0	Yes
43.0	Second	Male	.0	1.0	21.0	No
30.0	Second	Male	.0	.0	12.7	Yes
27.0	Second	Male	.0	.0	15.0	No
2.0	Second	Female	1.0	1.0	26.0	Yes
8.0	Second	Female	1.0	1.0	26.0	Yes
33.0	Second	Female	.0	2.0	26.0	Yes
36.0	Second	Male	.0	.0	10.5	No
34.0	Second	Male	1.0	.0	21.0	No
30.0	Second	Female	3.0	.0	21.0	Yes
28.0	Second	Female	.0	.0	13.0	Yes
23.0	Second	Male	.0	.0	15.0	No
3.0	Second	Male	1.0	1.0	18.8	Yes
24.0	Second	Female	2.0	3.0	18.8	Yes
19.0	Second	Male	.0	.0	10.5	No
21.0	Second	Female	.0	.0	10.5	Yes
26.0	Second	Male	.0	.0	13.0	No
25.0	Second	Male	.0	.0	13.0	No
25.0	Second	Female	.0	1.0	26.0	Yes
18.0	Second	Female	.0	2.0	13.0	Yes
20.0	Second	Female	.0	.0	36.8	Yes
30.0	Second	Female	.0	.0	13.0	Yes
40.0	Second	Female	.0	.0	13.0	Yes
25.0	Second	Male	.0	.0	10.5	No
18.5	Second	Male	.0	.0	13.0	No
23.0	Second	Male	.0	.0	13.0	No
27.0	Second	Female	1.0	.0	21.0	No
40.0	Second	Male	.0	.0	13.0	No
31.0	Second	Female	.0	.0	21.0	Yes
40.0	Second	Female	.0	.0	15.8	Yes
2.0	Second	Male	1.0	1.0	23.0	Yes
4.0	Second	Female	1.0	1.0	23.0	Yes
29.0	Second	Female	.0	2.0	23.0	Yes
5.0	Second	Female	1.0	2.0	27.8	Yes
36.0	Second	Male	1.0	2.0	27.8	No
33.0	Second	Female	1.0	2.0	27.8	Yes
66.0	Second	Male	.0	.0	10.5	No
29.9	Second	Male	.0	.0	12.9	No
31.0	Second	Male	.0	.0	13.0	Yes
42.0	Third	Male	.0	.0	7.6	No
13.0	Third	Male	.0	2.0	20.3	No
16.0	Third	Male	1.0	1.0	20.3	No
35.0	Third	Female	1.0	1.0	20.3	Yes
16.0	Third	Female	.0	.0	7.7	Yes
18.0	Third	Female	.0	.0	7.2	Yes
26.0	Third	Male	.0	.0	8.1	No
40.0	Third	Female	1.0	.0	9.5	No
.8	Third	Male	.0	1.0	9.4	Yes
18.0	Third	Female	.0	1.0	9.4	Yes
26.0	Third	Male	.0	.0	7.9	No
20.0	Third	Male	.0	.0	7.9	No
24.0	Third	Male	.0	.0	7.1	No
35.0	Third	Male	.0	.0	8.1	No
18.0	Third	Male	.0	.0	8.3	No
19.0	Third	Female	1.0	.0	7.9	Yes
4.0	Third	Male	4.0	2.0	31.3	No
6.0	Third	Female	4.0	2.0	31.3	No
2.0	Third	Female	4.0	2.0	31.3	No
17.0	Third	Female	4.0	2.0	7.9	Yes
38.0	Third	Female	4.0	2.0	7.8	No
9.0	Third	Female	4.0	2.0	31.3	No
11.0	Third	Female	4.0	2.0	31.3	No
27.0	Third	Male	.0	.0	7.8	Yes
39.0	Third	Female	1.0	5.0	31.3	No
20.0	Third	Male	.0	.0	7.9	No
25.0	Third	Male	1.0	.0	17.8	No
35.0	Third	Male	.0	.0	7.1	No
5.0	Third	Male	4.0	2.0	31.4	No
9.0	Third	Male	4.0	2.0	31.4	No
3.0	Third	Male	4.0	2.0	31.4	Yes
5.0	Third	Female	4.0	2.0	31.4	Yes
40.0	Third	Male	1.0	5.0	31.4	No
45.0	Third	Female	.0	.0	7.2	Yes
21.0	Third	Male	.0	.0	7.2	No
23.0	Third	Male	.0	.0	7.1	No
13.0	Third	Female	.0	.0	7.2	Yes
20.0	Third	Male	.0	.0	7.2	No
32.0	Third	Male	1.0	.0	15.9	No
33.0	Third	Female	3.0	.0	15.9	Yes
.8	Third	Female	2.0	1.0	19.3	Yes
5.0	Third	Female	2.0	1.0	19.3	Yes
18.0	Third	Female	.0	.0	8.1	Yes
26.0	Third	Male	.0	.0	7.9	No
20.0	Third	Male	.0	.0	7.2	Yes
18.0	Third	Female	.0	1.0	14.5	No
45.0	Third	Female	.0	1.0	14.5	No
22.0	Third	Male	.0	.0	8.1	No
19.0	Third	Male	.0	.0	8.1	No
26.0	Third	Male	.0	.0	7.8	No
32.0	Third	Male	.0	.0	56.5	Yes
18.0	Third	Male	.0	.0	7.8	No
26.0	Third	Male	.0	.0	7.9	No
6.0	Third	Male	1.0	1.0	15.2	No
9.0	Third	Female	1.0	1.0	15.2	No
40.0	Third	Male	1.0	1.0	15.5	No
21.0	Third	Male	.0	.0	16.1	No
22.0	Third	Female	.0	.0	7.7	Yes
20.0	Third	Female	.0	.0	7.9	No
22.0	Third	Male	1.0	.0	7.3	No
22.0	Third	Male	.0	.0	7.8	No
18.5	Third	Female	.0	.0	7.3	No
19.0	Third	Male	.0	.0	6.8	No
18.0	Third	Female	.0	.0	7.9	No
21.0	Third	Female	.0	.0	8.7	No
30.0	Third	Female	.0	.0	8.7	No
38.0	Third	Male	.0	.0	8.7	No
17.0	Third	Male	.0	.0	8.7	No
21.0	Third	Female	.0	.0	7.8	No
21.0	Third	Male	.0	.0	7.8	No
21.0	Third	Male	.0	.0	8.1	No
29.9	Third	Male	1.0	.0	14.5	No
29.9	Third	Female	1.0	.0	14.5	No
24.0	Third	Male	.0	.0	7.9	No
28.0	Third	Male	.0	.0	7.3	No
24.0	Third	Male	.0	.0	8.1	No
21.0	Third	Male	.0	.0	7.7	No
29.0	Third	Male	.0	.0	8.1	No
18.0	Third	Male	1.0	.0	14.5	No
18.0	Third	Male	.0	.0	8.1	Yes
24.0	Third	Male	.0	.0	7.3	No
36.0	Third	Male	.0	.0	7.5	No
31.0	Third	Male	.0	.0	7.8	No
22.0	Third	Female	.0	.0	7.8	Yes
70.5	Third	Male	.0	.0	7.8	No
35.0	Third	Male	.0	.0	7.9	No
27.0	Third	Male	.0	.0	7.9	No
19.0	Third	Male	.0	.0	7.9	No
30.0	Third	Male	.0	.0	8.1	No
9.0	Third	Male	1.0	1.0	15.9	Yes
3.0	Third	Male	1.0	1.0	15.9	Yes
59.0	Third	Male	.0	.0	7.3	No
17.0	Third	Female	.0	1.0	16.1	Yes
44.0	Third	Male	.0	1.0	16.1	No
17.0	Third	Male	.0	.0	8.7	No
30.0	Third	Female	.0	.0	7.0	Yes
29.0	Third	Male	.0	.0	7.8	Yes
34.0	Third	Male	1.0	1.0	14.4	No
27.0	Third	Male	.0	.0	7.9	No
25.0	Third	Male	.0	.0	7.9	No
24.0	Third	Male	2.0	.0	24.2	No
22.0	Third	Male	.0	.0	8.1	No
17.0	Third	Male	2.0	.0	8.1	No
29.9	Third	Male	1.0	.0	16.1	No
29.9	Third	Female	1.0	.0	16.1	Yes
36.5	Third	Male	1.0	.0	17.4	Yes
36.0	Third	Female	1.0	.0	17.4	Yes
30.0	Third	Male	.0	.0	9.5	Yes
16.0	Third	Male	.0	.0	9.5	No
1.0	Third	Male	1.0	2.0	20.6	Yes
.2	Third	Female	1.0	2.0	20.6	Yes
33.0	Third	Female	1.0	2.0	20.6	Yes
25.0	Third	Male	.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.9	No
36.0	Third	Male	.0	.0	7.3	No
19.0	Third	Female	.0	.0	7.9	Yes
43.0	Third	Male	.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.2	No
32.0	Third	Male	.0	.0	7.8	No
19.0	Third	Male	.0	.0	8.1	Yes
30.0	Third	Female	.0	.0	12.5	Yes
23.0	Third	Female	.0	.0	8.1	Yes
33.0	Third	Male	.0	.0	7.9	No
65.0	Third	Male	.0	.0	7.8	No
24.0	Third	Male	.0	.0	7.6	Yes
23.0	Third	Male	1.0	.0	13.9	No
22.0	Third	Female	1.0	.0	13.9	Yes
18.0	Third	Male	.0	.0	7.8	No
16.0	Third	Male	.0	.0	7.8	No
45.0	Third	Male	.0	.0	7.0	No
29.9	Third	Male	.0	.0	7.2	No
17.0	Third	Male	1.0	1.0	7.2	No
15.0	Third	Male	1.0	1.0	7.2	No
5.0	Third	Female	.0	.0	12.5	Yes
29.9	Third	Male	.0	.0	7.2	No
40.5	Third	Male	.0	.0	15.1	No
40.5	Third	Male	.0	.0	7.8	No
18.0	Third	Male	.0	.0	7.8	No
29.9	Third	Female	.0	.0	7.8	No
29.9	Third	Male	.0	.0	7.8	No
29.9	Third	Male	.0	.0	56.5	Yes
9.0	Third	Female	2.0	2.0	34.4	No
29.9	Third	Male	.0	.0	8.1	No
18.0	Third	Male	2.0	2.0	34.4	No
48.0	Third	Female	1.0	3.0	34.4	No
29.9	Third	Male	.0	.0	7.8	No
29.9	Third	Male	.0	.0	7.3	No
25.0	Third	Male	.0	.0	7.7	No
29.9	Third	Male	.0	.0	14.5	No
29.9	Third	Male	.0	.0	7.9	No
16.0	Third	Female	.0	.0	7.7	Yes
29.9	Third	Female	.0	.0	7.8	Yes
9.0	Third	Male	.0	2.0	20.5	Yes
33.0	Third	Male	1.0	1.0	20.5	No
41.0	Third	Male	.0	.0	7.9	No
38.0	Third	Male	.0	.0	7.1	No
9.0	Third	Male	5.0	2.0	46.9	No
11.0	Third	Male	5.0	2.0	46.9	No
10.0	Third	Female	5.0	2.0	46.9	No
16.0	Third	Female	5.0	2.0	46.9	No
14.0	Third	Male	5.0	2.0	46.9	No
40.0	Third	Male	1.0	6.0	46.9	No
43.0	Third	Female	1.0	6.0	46.9	No
51.0	Third	Male	.0	.0	8.1	No
32.0	Third	Male	.0	.0	8.4	No
29.9	Third	Male	.0	.0	8.1	No
37.0	Third	Male	2.0	.0	7.9	No
28.0	Third	Male	2.0	.0	7.9	No
24.0	Third	Female	.0	.0	8.9	No
17.0	Third	Female	.0	.0	7.7	No
29.9	Third	Male	1.0	.0	20.0	No
28.0	Third	Male	1.0	.0	15.9	No
23.5	Third	Male	.0	.0	7.2	No
41.0	Third	Male	2.0	.0	14.1	No
26.0	Third	Male	1.0	.0	7.9	No
21.0	Third	Male	.0	.0	7.9	No
45.0	Third	Female	1.0	.0	14.1	Yes
